symbol,purchase_date,purchase_price,sell_date,sell_price,profit_pct,pnl,exit_reason
RELIANCE,2024-01-16,1369.98,2024-01-29,1443.15,5.34,5341.46,Target +5%
TCS,2024-01-17,3773.85,2024-02-06,4027.37,6.72,6717.8,Target +5%
INFY,2024-01-18,1579.13,2024-02-06,1662.63,5.29,5287.35,Target +5%
HDFCBANK,2024-01-19,1435.05,2024-04-05,1414.27,-1.45,-1448.34,Target +5%
SBIN,2024-01-23,583.41,2024-01-31,617.54,5.85,5850.27,Target +5%
BAJFINANCE,2024-01-24,698.65,2024-03-06,624.97,-10.55,-10545.97,Stoploss -10%
LT,2024-01-25,3532.48,2024-03-28,3556.41,0.68,677.63,Target +5%
MARUTI,2024-01-29,9897.91,2024-02-01,10538.41,6.47,6471.06,Target +5%
